"","J001-0h","J001-ctrl","J001-acggm","J011-0h","J011-ctrl","J011-acggm","J014-0h","J014-ctrl","J014-acggm","J016-0h","J016-ctrl","J016-acggm","J018-0h","J018-ctrl","J018-acggm","J020-0h","J020-ctrl","J020-acggm","J021-0h","J021-ctrl","J021-acggm","J022-0h","J022-ctrl","J022-acggm"
"MAG129",0.110196106,0.010055668,0.0048245373,0.061707772,0.009148077,0.0064877504,0.02145027,0.003934012,0.0012982615,0.015628075,0.0042128367,0.0036251638,0.03609926,0.008361092,0.0044082324,0.24975595,0.043764975,0.025092226,0.05042674,0.0067826733,0.0040060617,0.039685726,0.006518026,0.0013963454
"MAG130",0.06447548,0.021404136,0.03446934,0.09204313,0.071996875,0.26353726,0.08561034,0.07539145,0.30328125,0.026810203,0.0713176,0.65651166,0.06422126,0.057690766,1.0601525,0.07866298,0.10557643,0.34327617,0.05759914,0.105868444,0.2426835,0.024506431,0.062378455,0.22147669
"MAG131",0.032763507,0.008876332,0.0125177875,0.07571271,0.03294687,0.024434274,0.041697178,0.016263578,0.012007045,0.039717626,0.02253809,0.035939634,0.0038467175,0,0.014253738,0.032760475,0.028576003,0.01434466,0.034844596,0.010248722,0.006823231,0.035977393,0.023572331,0.034894843
"MAG132",0.013885815,0.0010725642,0.0013263638,0.01770223,0.0016928558,0,0.030774694,0.0036629767,0.0022276344,0.012831747,0.0024901002,0.0013900257,0.038051832,0.0035841449,0.0029870206,0,0,0,0.0014467139,0,0,0.07199689,0.0045056078,0.0030007286
"MAG133",0.08491536,0.011127486,0.011376536,0.082692415,0.013811322,0.02019652,0.111384,0.06590612,0.07437815,0.07070466,0.01713404,0.036097076,0.11705063,0.017296378,0.031486444,0.102606334,0.03589236,0.04295847,0.07291514,0.008524608,0.021645343,0.110831715,0.027336124,0.061868493
"MAG134",0.098833434,0.005291792,0.0061432747,0.13141742,0.03139931,0.05576636,0.12594643,0.052858483,0.04822277,0.080601566,0.05099484,0.15085614,0.1468938,0.18856834,0.34838158,0.20334502,0.047942344,0.07729368,0.13232766,0.047501948,0.061267912,0.09886368,0.10355162,0.20862408
"MAG135",0.33619604,0.19380754,0.07472801,0.039375063,0.3919391,0.26183373,0.03611806,0.5433971,0.115552925,0.057797838,0.2426984,0.39505723,0.015112563,0.15410687,0.028629757,0.05342845,0.44098085,0.12262755,0.028116526,0.31581154,0.12430274,0.042995475,0.596242,0.07932873
"MAG136",0.42494676,0.0018028346,0.004907088,0.49541023,0.0097151,0.063397,0.68967485,0.12051399,0.71832675,0.45276418,0.0031516575,0.0327752,1.0338347,0.040240347,0.17644255,0.42682984,0.008694476,0.034857232,0.45630893,0.0018606714,0.0044660787,0.9153175,0.023721434,0.1797876
"MAG137",0.028421035,0.001959184,0.0016968392,0.15316717,0.024705047,0.03537244,0.5206538,0.05574879,0.053314302,0.2497621,0.037685584,0.061399736,0.21887109,0.021789033,0.031963233,0.38267148,0.07149598,0.0941969,0.2863322,0.035190217,0.043510392,0.4286832,0.06950179,0.06850727
"MAG138",0.006189756,0,0,0.008501567,0.031097004,0.021005291,0.004546463,0.006733614,0.0022045134,0.00582721,0.024556454,0.015525105,0.009874714,0.051824704,0.0155445095,0.005055101,0.013197429,0.004525821,0.0067100297,0.022830257,0.010989661,0.0063222405,0.055978153,0.015111539
"MAG139",0.05731978,0.0030835895,0.0024842503,0.14822355,0.006954208,0.0055485643,0.091021776,0.004022045,0.0019197082,0.034956776,0.00085602206,0,0.011588205,0,0,0.020104138,0.00074254605,0,0.08916405,0.0011589284,0.00066407723,0.10775325,0,0
"MAG140",0.020980543,0.0019180016,0.0016760037,0.010305206,0.017873952,0.008081131,0.01115136,0.014678046,0.0043381057,0.012328284,0.015924148,0.009171396,0.010682844,0.016094869,0.0067816777,0.01697615,0.028505804,0.008477703,0.0075287437,0.0025474287,0.0011719746,0.01151559,0.008488885,0.002928978
"MAG141",0.099063724,0,0,0.0739638,0.004378605,0.005664975,0.072116196,0.0050025913,0.004729712,0.079691306,0.00077362783,0,0.061478183,0.0020758358,0.0048666354,0.20543186,0.00078040676,0.0006837279,0.063608214,0,0,0.052044444,0.0024125963,0.002105878
"MAG142",0.15902036,1.0920115,0.70357525,0.12517901,8.948439,5.7501497,0.14232476,3.909351,2.8426828,0.16698043,4.4690733,4.6511216,0.123705484,4.659679,3.3911972,0.206064,5.5324106,2.564367,0.23045881,4.2930727,2.713762,0.19386783,5.8925257,8.448633
"MAG143",0.04661322,0.002481064,0.0024440777,0.026980055,0.0019402186,0.0009663765,0.0056251334,0,0,0.017643705,0.0012080199,0.0009176089,0.0009006597,0,0,0,0,0,0,0,0,0,0,0
"MAG144",18.767199,27.152107,23.02064,2.1265163,7.7945614,5.003284,2.5780325,8.393658,3.5881314,8.210107,15.069785,10.127256,3.8249133,7.566503,4.393936,1.0118741,5.767978,5.5774045,6.823159,21.169743,19.095781,6.2466583,8.188318,5.6117926
"MAG145",0.041065454,0.14706539,0.23385748,0.091286205,0.23553199,0.4605759,0.06450383,0.14679278,0.23254843,0.036718365,0.10050905,0.49973994,0.17483541,0.27034703,0.40790474,0.027731039,0.07321279,0.1495955,0.055373672,0.1353479,0.40642932,0.15720773,0.37579736,0.587552
"MAG146",0.018402727,0.0064086765,0.005435488,0.019913033,0.0055879173,0.004678165,0.0067488174,0.0035715979,0.0016720052,0.0073265713,0.0069331983,0.004700279,0.0029286672,0.0019532337,0.0015094229,0.006843894,0.00510977,0.0035598066,0.0011595216,0,0,0.0052028615,0.0068464302,0.003989176
